Attribute,CV terms,Definition
access,,"Consented access level of data. 

Note: This field is mandatory. Enter Not Available, if information is not available."
,open,Data and metadata can be freely shared publicly immediately.
,open_embargo,Data and metadata can be freely shared publicly after a stated embargo period ends.
,restricted,Data and metadata can be shared with individuals who have been approved for access
,restricted_embargo,"Data and metadata can be shared with individuals who have been approved for access after a stated embargo period ends. During the embargo period, individuals outside the project will not be able to request access."
,,
,,
data_use,DUO,https://www.ebi.ac.uk/ols4/ontologies/duo
,"Open, no restriction: DUO:0000004",This data use permission indicates there is no restriction on use.
,"Controlled, General Research Use: DUO:0000042",This data use permission indicates that use is allowed for general research use for any research purpose.
,"Controlled, health or medical or biomedical research: DUO:0000006",This data use permission indicates that use is allowed for health/medical/biomedical purposes; does not include the study of population origins or ancestry.
,"Controlled, disease specific research: DUO:0000007",This data use permission indicates that use is allowed provided it is related to the specified disease.
,"Embargoed data, publication moratorium: DUO:0000024",This data use modifier indicates that requestor agrees not to publish results of studies until a specific date.
,"Restricted, user specific restriction: DUO:0000026",This data use modifier indicates that use is limited to use by approved users.
,,
file_type,EDAM,https://www.ebi.ac.uk/ols4/ontologies/edam/classes/http%253A%252F%252Fedamontology.org%252Fformat_1915?lang=en
,"fastq,EDAM:1930",FASTQ short read format ignoring quality scores.
,"fasta,EDAM:1929",FASTA format including NCBI-style IDs.
,"csv,EDAM:3752",Tabular data represented as comma-separated values in a text file.
,"tsv,EDAM:3475",Tabular data represented as tab-separated values in a text file.
,"textual format,EDAM:2330","Textual format. Data in text format can be compressed into binary format, or can be a value of an XML element or attribute. Markup formats are not considered textual (or more precisely, not plain-textual)"
,"bam,EDAM:2572","BAM format, the binary, BGZF-formatted compressed version of SAM format for alignment of nucleotide sequences (e.g. sequencing reads) to (a) reference sequence(s). May contain base-call and alignment qualities and other data."
,"cram,EDAM:3462",Reference-based compression of alignment format.
,"bed,EDAM:3003","Browser Extensible Data (BED) format of sequence annotation track, typically to be displayed in a genome browser."
,"bigBed,EDAM:3004","bigBed format for large sequence annotation tracks, similar to textual BED format."
,"bigWig,EDAM:3006",bigWig format for large sequence annotation tracks that consist of a value for each sequence position. Similar to textual WIG format.
,"Protein family report format,EDAM:2052",Format for reports on a protein family.
,"Gene expression report format,EDAM:2058","Format of a file of gene expression data, e.g. a gene expression matrix or profile."
,"HDF5,EDAM:3590","HDF5 is a data model, library, and file format for storing and managing data, based on Hierarchical Data Format (HDF). "
,"Loom,EDAM:3913","The Loom file format is based on HDF5, a standard for storing large numerical datasets. The Loom format is designed to efficiently hold large omics datasets. Typically, such data takes the form of a large matrix of numbers, along with metadata for the rows and columns."
,"mtx,EDAM:3916",The Matrix Market matrix (MTX) format stores numerical or pattern matrices in a dense (array format) or sparse (coordinate format) representation.
,"R file,EDAM:3554","File format used for scripts written in the R programming language for execution within the R software environment, typically for statistical computation and graphics."
,"VCF,EDAM:3016",Variant Call Format (VCF) is tabular format for storing genomic sequence variations. 
,,
,,
data_category,EDAM,https://www.ebi.ac.uk/ols4/ontologies/edam/classes/http%253A%252F%252Fedamontology.org%252Fdata_0006?lang=en
,"DNA sequence,EDAM:3494",A DNA sequence.
,"RNA sequence,EDAM:3495",An RNA sequence.
,"Sequence alignment,EDAM:0863",Alignment of multiple molecular sequences.
,"Sequence features,EDAM:1255","Annotation of positional features of molecular sequence(s), i.e. that can be mapped to position(s) in the sequence.This includes annotation of positional sequence features, organised into a standard feature table, or any other report of sequence features. General feature reports are a source of sequence feature table information although internal conversion would be required."
,"Annotation track,EDAM:3002","Annotation of one particular positional feature on a biomolecular (typically genome) sequence, suitable for import and display in a genome browser."
,"Sequence variations,EDAM:3498",Data on gene sequence variations resulting large-scale genotyping and DNA sequencing projects. Variations are stored along with a reference genome.
,"Report,EDAM:2048","A human-readable collection of information including annotation on a biological entity or phenomena, computer-generated reports of analysis of primary data (e.g. sequence or structural), and metadata (data about primary data) or any other free (essentially unformatted) text, as distinct from the primary data itself."
,"Protein family report,EDAM:0907",An informative report on a specific protein family or other classification or group of protein sequences or structures.
,"Quality control report,EDAM:3914",Report of the quality control review that was made of factors involved in a procedure.
,"Simulation,EDAM:3869","Data coming from molecular simulations, computer ""experiments"" on model molecules. Typically formed by two separated but indivisible pieces of information: topology data (static) and trajectory data (dynamic)."
,"Count matrix,data:3917","A table of unnormalized values representing summarised read counts per genomic region (e.g. gene, transcript, peak)."
,"Taxonomy,data:3028","Data concerning the classification, identification and naming of organisms. This is a broad data type and is used a placeholder for other, more specific types."
,Pathway mapping,Data linking biomolecules to biological pathways to represent their functional roles (eg. KEGG pathway annotations)
,Abundance matrix,"Counts or relative abundance profiling of features (eg. genes, proteins) or organisms classified by taxonomy across samples."
,,
modality,in-house custom,Name of data modality used to categorize data at a high level - Pick a term from the Controlled Vocabulary. Please contact us if you cannot find your term in this list.
,Genome - Whole Genome,The complete DNA sequencing of an organism's genome at a single time
,Genome - Whole Exome,"The complete sequencing of all the exons in a genome, reflecting the protein-coding portion of a genome, which includes untranslated regions of messenger RNA, and coding regions."
,Metagenome,Sequencing of a mixture of genomes from different species from a microbial community.
,Virome,"Sequencing of the viral component of a microbiome, that consists of multiple genome sequences from different viruses present in the same input sample."
,16Samplicon,Amplicon sequencing of the variable regions of the 16S rRNA gene
,ITSamplicon,"Amplicon sequencing of the internal transcribed spacer (ITS) regions, commonly used for profiling fungal communities."
,Immunology,Identification and/or quantification of immune-related proteins
,Metabolome,"Identification and/or quantification of metabolites (sugars, fatty acids, lipids etc.), which are the products of metabolic reactions in cells or organisms. "
,Transcriptome-RNA-seq,"Sequencing of a set of all RNA transcripts, including coding and non-coding, in a sample from a single organism"
,Transcriptome-scRNA-seq,"Sequencing of a set of all RNA transcripts, including coding and non-coding, in a single cell"
,Transcriptome-snRNA-seq,"Sequencing of a set of all RNA transcripts, including coding and non-coding, in a single nucleus"
,Metatranscriptome-RNA-seq,"Sequencing of a set of all RNA transcripts, including coding and non-coding, from a microbiome sample"
,Epigenome-ATAC-seq,"Sequencing of transposase-accessible chromatin, in order to determine areas of genome accessible for transcription"
,Epigenome-ChIP-seq,"Sequencing of regions of DNA that bind to transcription factors and other proteins, through chromatin immunoprecipitation"
,Multimodal,"A sequencing or analysis approach that integrates multiple types of molecular data (e.g., RNA, protein, chromatin accessibility) from the same sample or single cell to provide a more comprehensive understanding of biological processes. (e.g., scRNA-Seq + ATAC-Seq)"
,Spatial_transcriptome,"A technique that combines gene expression profiling with spatial information to map RNA molecules within intact tissues, preserving the spatial context of gene expression."
,,
,,
samp_taxonomy,NCBI Taxonomy,https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi
,"human vaginal metagenome,NCBI:txid1632839",human vaginal metagenome
,"Homo sapiens,NCBI:txid9606",NCBI Taxonomy term and id
,"human viral metagenome,NCBI:txid1070528",human viral metagenome
,"Lactobacillus gasseri,NCBI:txid1596",NCBI Taxonomy term and id
,"Lactobacillus crispatus,NCBI:txid47770",NCBI Taxonomy term and id
,"Gardnerella vaginalis,NCBI:txid2702",NCBI Taxonomy term and id
,"Lactobacillus jensenii,NCBI:txid109790",NCBI Taxonomy term and id
,"Lactobacillus,NCBI:txid1578",NCBI Taxonomy term and id
,"Bifidobacterium breve,NCBI:txid1685",NCBI Taxonomy term and id
,"Enterococcus faecalis,NCBI:txid1351",NCBI Taxonomy term and id
,"Streptococcus anginosus,NCBI:txid1328",NCBI Taxonomy term and id
,"Prevotella bivia,NCBI:txid28125",NCBI Taxonomy term and id
,"Lactobacillus vaginalis,NCBI:txid1633",NCBI Taxonomy term and id
,"Prevotella disiens,NCBI:txid28130",NCBI Taxonomy term and id
,"Bifidobacterium bifidum,NCBI:txid1681",NCBI Taxonomy term and id
,"Varibaculum,NCBI:txid184869",NCBI Taxonomy term and id
,"Propionimicrobium lymphophilum,NCBI:txid33012",NCBI Taxonomy term and id
,"Porphyromonas,NCBI:txid836",NCBI Taxonomy term and id
,"Lactobacillus reuteri,NCBI:txid1598",NCBI Taxonomy term and id
,"Lactobacillus coleohominis,NCBI:txid181675",NCBI Taxonomy term and id
,"Actinotignum,NCBI:txid1653174",NCBI Taxonomy term and id
,"Varibaculum cambriense,NCBI:txid184870",NCBI Taxonomy term and id
,"Staphylococcus epidermidis,NCBI:txid1282",NCBI Taxonomy term and id
,"Cutibacterium avidum,NCBI:txid33010",NCBI Taxonomy term and id
,"Prevotella corporis,NCBI:txid28128",NCBI Taxonomy term and id
,"Bifidobacterium bifidum,NCBI:txid1681",NCBI Taxonomy term and id
,"Enterococcus faecalis,NCBI:txid1351",NCBI Taxonomy term and id
,"Streptococcus anginosus,NCBI:txid1328",NCBI Taxonomy term and id
,"Prevotella bivia,NCBI:txid28125",NCBI Taxonomy term and id
,"Lactobacillus vaginalis,NCBI:txid1633",NCBI Taxonomy term and id
,"Prevotella disiens,NCBI:txid28130",NCBI Taxonomy term and id
,"Bifidobacterium bifidum,NCBI:txid1681",NCBI Taxonomy term and id
,"Varibaculum,NCBI:txid184869",NCBI Taxonomy term and id
,"Propionimicrobium lymphophilum,NCBI:txid33012",NCBI Taxonomy term and id
,"Porphyromonas,NCBI:txid836",NCBI Taxonomy term and id
,"Lactobacillus reuteri,NCBI:txid1598",NCBI Taxonomy term and id
,"Lactobacillus coleohominis,NCBI:txid181675",NCBI Taxonomy term and id
,"Actinotignum,NCBI:txid1653174",NCBI Taxonomy term and id
,"Varibaculum cambriense,NCBI:txid184870",NCBI Taxonomy term and id
,"Staphylococcus epidermidis,NCBI:txid1282",NCBI Taxonomy term and id
,"Cutibacterium avidum,NCBI:txid33010",NCBI Taxonomy term and id
,"Prevotella corporis,NCBI:txid28128",NCBI Taxonomy term and id
,"Lactobacillus fermentum,NCBI:txid1613",NCBI Taxonomy term and id
,"Fenollaria massiliensis,NCBI:txid938288",NCBI Taxonomy term and id
,"Fenollaria,NCBI:txid1686313",NCBI Taxonomy term and id
,"Aerococcus christensenii,NCBI:txid87541",NCBI Taxonomy term and id
,"Actinomyces neuii,NCBI:txid33007",NCBI Taxonomy term and id
,"Actinomyces,NCBI:txid1654",NCBI Taxonomy term and id
,"Lactobacillus iners,NCBI:txid147802",NCBI Taxonomy term and id
,"Finegoldia magna,NCBI:txid1260",NCBI Taxonomy term and id
,"Prevotella bergensis,NCBI:txid242750",NCBI Taxonomy term and id
,"Porphyromonas somerae,NCBI:txid322095",NCBI Taxonomy term and id
,"Peptoniphilus duerdenii,NCBI:txid507750",NCBI Taxonomy term and id
,"Pediococcus acidilactici,NCBI:txid1254",NCBI Taxonomy term and id
,"Cutibacterium acnes,NCBI:txid1747",NCBI Taxonomy term and id
,"Atopobium deltae,NCBI:txid1393034",NCBI Taxonomy term and id
,"Actinomyces radingae,NCBI:txid131110",NCBI Taxonomy term and id
,"Prevotella timonensis,NCBI:txid386414",NCBI Taxonomy term and id
,"Prevotella sp16,NCBI:txid59823",NCBI Taxonomy term and id
,"Peptoniphilus harei,NCBI:txid54005",NCBI Taxonomy term and id
