Keyword	Description
program_id	Name of the project within which the sequencing was organized
project_id	Name of the study, in the format of 'project_name'_'study'
bioproject_accession	The BioProject accession number assigned to your project
file_name	Name of the file in gzipped format for reads, assemblies etc. 
file_desc	Description of file (for summary files)
size	The size of the file in the format in which it is stored in the Google Cloud bucket (e.g., compressed or uncompressed format). For user convenience, the uncompressed file size for primary files is also provided to indicate the approximate storage space required.
uncompressed_filesize	Size of uncompressed primary file in bytes
md5	md5sum for compressed (gzipped) primary files
uncompressed_file_md5	md5sum for uncompressed summary and primary files
access	Consented access level of data
data_use_limit_name	Term from the Data Use Ontology (DUO) to describe how the data is allowed to be used
format	File format type (fastq, fasta, tar, csv etc.)
data_type	Data type of file
data_category	Primary files (sequencing/assembly/annotation files) OR Summary files
modality	Modality/assay information
samp_taxonomy	Sample taxonomy and NCBI taxonomy id information
strain	Isolate/strain information for Isolate genomes
sample_name, sample_id	A local identifier or name that for the material sample used for extracting nucleic acids, and subsequent sequencing
source_sample_id	A unique identifier for the sample, assigned by the lab
sample_type	Type of sample
cell_line	Name of specific cell line used in the  study
cell_type	The CL ontology term and ID for the cell type of the sample
experimental_factor	Variable aspects of an experiment design which can be used to describe an experiment, or set of experiments, in an increasingly detailed manner
lat_lon	Geographical origin of the sample as defined by latitude and longitude
geo_loc_name	Geographical origin of the sample as defined by the country or sea name followed by specific region name. 
site	An identifier representing the site of study {AMANHIB = AMANHI Bangladesh, AMANHIP = AMANHI Pakistan, AMANHIT = AMANHI Tanzania, GAPPSB = GAPPS Bangladesh, GAPPSZ = GAPPS Zambia}
collection_year	Year of sample collection in the format of YYYY
neg_cont_type	The substance or equipment used as a negative control in an investigation
pos_cont_type	The substance, mixture, product, or apparatus used to verify that a process which is part of an investigation delivers a true positive.
samp_collect_device	The instrument or tool used to obtain a biological or environmental sample from its source. 
samp_collect_method	The technique or procedure used to obtain a sample from its source
samp_storage_medium	The substance or condition in which a collected sample is stored before analysis
samp_storage_method	The method used to preserve and store biological samples after collection to maintain their integrity for downstream analysis. 
samp_store_temp	Temperature at which sample was stored, e.g. -80 degree Celsius
samp_store_loc	Location at which sample was stored, usually name of a specific freezer/room
samp_store_dur	Duration for which the sample was stored
salinity	The total concentration of all dissolved salts in a liquid or solid sample
oxy_stat_samp	Oxygenation status of sample
ref_biomaterial	Primary publication if isolated before genome publication; otherwise, primary genome report.
source_mat_id	A unique identifier assigned to a material sample used for extracting nucleic acids, and subsequent sequencing
